name,Label,Id
"Rush, Brandon",RushBrandon,1
"Thompson, Klay",ThompsonKlay,2
"Barbosa, Leandro",BarbosaLeandro,3
"Green, Draymond",GreenDraymond,4
"Speights, Marreese",SpeightsMarreese,5
"Bogut, Andrew",BogutAndrew,6
"McAdoo, James Michael",McAdooJames Michael,7
"Curry, Stephen",CurryStephen,8
"Iguodala, Andre",IguodalaAndre,9
"Varejao, Anderson",VarejaoAnderson,10
"Clark, Ian",ClarkIan,11
"Ezeli, Festus",EzeliFestus,12
"Livingston, Shaun",LivingstonShaun,13
"Looney, Kevon",LooneyKevon,14
"Barnes, Harrison",BarnesHarrison,15
